timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1512744060560,1003,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-374,text,false,,2131,0,364,364,0,0,1003
1512744060562,1008,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-375,text,false,,2131,0,363,363,0,0,1008
1512744060564,1011,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-397,text,false,,2131,0,362,362,0,0,1011
1512744060568,1007,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-378,text,false,,2131,0,361,361,0,0,1007
1512744060570,1005,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-379,text,false,,2131,0,361,361,0,0,1005
1512744060570,1005,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-405,text,false,,2131,0,361,361,0,0,1005
1512744060571,1004,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-401,text,false,,2131,0,361,361,0,0,1004
1512744060576,1002,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-382,text,false,,2131,0,357,357,0,0,1002
1512744060577,1003,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-404,text,false,,2131,0,356,356,0,0,1003
1512744060578,1004,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-383,text,false,,2131,0,355,355,0,0,1004
1512744060578,1004,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-409,text,false,,2131,0,355,355,0,0,1004
1512744060584,1008,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-386,text,false,,2131,0,353,353,0,0,1008
1512744060587,1005,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-387,text,false,,2131,0,353,353,0,0,1005
1512744060586,1006,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-408,text,false,,2131,0,353,353,0,0,1006
